expid,cdtid,zecoid,aoTermId,chebiTermId,ccTermId,extra
ZDB-EXP-051101-6,ZECO:0000166,,none,none,,,
ZDB-EXP-051101-6,ZECO:0000229,,none,none,,,
ZDB-EXP-051101-7,ZECO:0000166,,none,none,,,
ZDB-EXP-051101-7,ZECO:0000229,,none,none,,,
ZDB-EXP-051102-4,ZECO:0000102,CHEBI:63449,none,none,,,
ZDB-EXP-051102-5,ZECO:0000102,,none,none,,,
ZDB-EXP-051102-6,ZECO:0000102,,none,none,,,
ZDB-EXP-051102-7,ZECO:0000102,CHEBI:4021,none,none,,,
ZDB-EXP-051102-8,ZECO:0000102,CHEBI:4021,none,none,,,
ZDB-EXP-051102-8,ZECO:0000102,CHEBI:63449,none,none,,,
ZDB-EXP-051103-3,ZECO:0000102,CHEBI:27563,none,none,,,
ZDB-EXP-051103-4,ZECO:0000110,103603,none,none,,,
ZDB-EXP-051103-5,ZECO:0000102,CHEBI:27563,none,none,,,
ZDB-EXP-051103-5,ZECO:0000110,103603,none,none,,,
ZDB-EXP-051104-3,ZECO:0000102,CHEBI:63449,none,none,,,
ZDB-EXP-051108-1,ZECO:0000102,CHEBI:63449,none,none,,,
ZDB-EXP-051110-1,ZECO:0000102,CHEBI:63449,none,none,,,
ZDB-EXP-051110-2,ZECO:0000102,CHEBI:63449,none,none,,,
ZDB-EXP-051111-1,ZECO:0000102,CHEBI:63449,none,none,,,
ZDB-EXP-051111-4,ZECO:0000102,,none,none,,,
ZDB-EXP-051117-4,ZECO:0000181,ZFA:0000075,none,none,,,
ZDB-EXP-051130-1,ZECO:0000189,,none,none,,,
ZDB-EXP-051202-3,ZECO:0000229,,none,none,,,
ZDB-EXP-051205-1,ZECO:0000102,CHEBI:86194,none,none,,,
ZDB-EXP-051205-3,ZECO:0000102,CHEBI:15367,none,none,,,
ZDB-EXP-051205-6,ZECO:0000166,,none,none,,,
ZDB-EXP-051205-7,ZECO:0000166,,none,none,,,
ZDB-EXP-051205-8,ZECO:0000102,CHEBI:86194,none,none,,,
ZDB-EXP-051206-1,ZECO:0000102,CHEBI:15367,none,none,,,
ZDB-EXP-051206-1,ZECO:0000102,CHEBI:86194,none,none,,,
ZDB-EXP-051209-2,ZECO:0000102,CHEBI:15367,none,none,,,
ZDB-EXP-051220-5,ZECO:0000102,CHEBI:4021,none,none,,,
ZDB-EXP-051220-6,ZECO:0000144,ZFA:0001110,none,none,,,
ZDB-EXP-051220-6,ZECO:0000102,,none,none,,,
ZDB-EXP-051220-7,ZECO:0000102,,none,none,,,
ZDB-EXP-051220-7,ZECO:0000144,ZFA:0001110,none,none,,,
ZDB-EXP-051220-8,ZECO:0000102,,none,none,,,
ZDB-EXP-051220-8,ZECO:0000144,ZFA:0001110,none,none,,,
ZDB-EXP-051220-8,ZECO:0000102,,none,none,,,
ZDB-EXP-051228-1,ZECO:0000144,ZFA:0000093,none,none,,,
ZDB-EXP-051228-2,ZECO:0000144,ZFA:0000093,none,none,,,
ZDB-EXP-060104-4,ZECO:0000102,CHEBI:28851,none,none,,,
ZDB-EXP-060104-5,ZECO:0000102,CHEBI:23681,none,none,,,
ZDB-EXP-060104-6,ZECO:0000102,,none,none,,,
ZDB-EXP-060105-1,ZECO:0000102,CHEBI:39106,none,none,,,
ZDB-EXP-060105-5,ZECO:0000102,CHEBI:51687,none,none,,,
ZDB-EXP-060105-6,ZECO:0000102,,none,none,,,
ZDB-EXP-060105-6,ZECO:0000102,,none,none,,,
ZDB-EXP-060105-9,ZECO:0000102,,none,none,,,
ZDB-EXP-060109-1,ZECO:0000102,CHEBI:39106,none,none,,,
ZDB-EXP-060109-2,ZECO:0000102,CHEBI:51687,none,none,,,
ZDB-EXP-060109-3,ZECO:0000102,CHEBI:51687,none,none,,,
ZDB-EXP-060109-4,ZECO:0000102,CHEBI:51687,none,none,,,
ZDB-EXP-060109-5,ZECO:0000102,CHEBI:51687,none,none,,,
ZDB-EXP-060111-2,ZECO:0000229,,none,none,,,
ZDB-EXP-060112-1,ZECO:0000172,,none,none,,,
ZDB-EXP-060112-2,ZECO:0000172,,none,none,,,
ZDB-EXP-060112-3,ZECO:0000172,,none,none,,,
ZDB-EXP-060112-4,ZECO:0000172,,none,none,,,
ZDB-EXP-060113-2,ZECO:0000162,,none,none,,,
ZDB-EXP-060113-3,ZECO:0000102,CHEBI:48607,none,none,,,
ZDB-EXP-060118-2,ZECO:0000102,,none,none,,,
ZDB-EXP-060118-2,ZECO:0000102,,none,none,,,
ZDB-EXP-060118-3,ZECO:0000102,,none,none,,,
ZDB-EXP-060118-3,ZECO:0000102,,none,none,,,
ZDB-EXP-060118-4,ZECO:0000102,,none,none,,,
ZDB-EXP-060118-4,ZECO:0000102,,none,none,,,
ZDB-EXP-060123-1,ZECO:0000102,,none,none,,,
ZDB-EXP-060123-2,ZECO:0000102,CHEBI:90623,none,none,,,
ZDB-EXP-060123-3,ZECO:0000102,,none,none,,,
ZDB-EXP-060124-1,ZECO:0000102,CHEBI:17963,none,none,,,
ZDB-EXP-060124-2,ZECO:0000102,CHEBI:17963,none,none,,,
ZDB-EXP-060124-2,ZECO:0000102,CHEBI:9087,none,none,,,
ZDB-EXP-060124-3,ZECO:0000102,CHEBI:17963,none,none,,,
ZDB-EXP-060124-5,ZECO:0000102,CHEBI:17963,none,none,,,
ZDB-EXP-060124-5,ZECO:0000102,CHEBI:47781,none,none,,,
ZDB-EXP-060124-6,ZECO:0000102,CHEBI:17963,none,none,,,
ZDB-EXP-060124-6,ZECO:0000102,CHEBI:116225,none,none,,,
ZDB-EXP-060126-1,ZECO:0000229,,none,none,,,
ZDB-EXP-060126-2,ZECO:0000229,,none,none,,,
ZDB-EXP-060126-2,ZECO:0000102,CHEBI:28119,none,none,,,
ZDB-EXP-060201-2,ZECO:0000102,CHEBI:86195,none,none,,,
ZDB-EXP-060201-3,ZECO:0000102,CHEBI:15367,none,none,,,
ZDB-EXP-060201-4,ZECO:0000102,,none,none,,,
ZDB-EXP-060201-5,ZECO:0000102,CHEBI:17898,none,none,,,
ZDB-EXP-060201-6,ZECO:0000102,CHEBI:27641,none,none,,,
ZDB-EXP-060201-7,ZECO:0000102,CHEBI:15367,none,none,,,
ZDB-EXP-060201-7,ZECO:0000102,CHEBI:27641,none,none,,,
ZDB-EXP-060206-1,ZECO:0000102,,none,none,,,
ZDB-EXP-060207-3,ZECO:0000102,CHEBI:46261,none,none,,,
ZDB-EXP-060208-1,ZECO:0000181,ZFA:0000435,none,none,,,
ZDB-EXP-060209-1,ZECO:0000102,,none,none,,,
ZDB-EXP-060209-2,ZECO:0000166,,none,none,,,
ZDB-EXP-060210-2,ZECO:0000102,,none,none,,,
ZDB-EXP-060210-3,ZECO:0000102,,none,none,,,
ZDB-EXP-060210-4,ZECO:0000102,,none,none,,,
ZDB-EXP-060216-2,ZECO:0000229,,none,none,,,
ZDB-EXP-060216-2,ZECO:0000102,CHEBI:28119,none,none,,,
ZDB-EXP-060216-4,ZECO:0000229,,none,none,,,
ZDB-EXP-060216-4,ZECO:0000102,CHEBI:28119,none,none,,,
ZDB-EXP-060222-1,ZECO:0000172,,none,none,,,
ZDB-EXP-060222-1,ZECO:0000163,,none,none,,,
ZDB-EXP-060222-2,ZECO:0000172,,none,none,,,
ZDB-EXP-060222-2,ZECO:0000163,,none,none,,,
ZDB-EXP-060222-3,ZECO:0000172,,none,none,,,
ZDB-EXP-060222-3,ZECO:0000163,,none,none,,,
ZDB-EXP-060228-4,ZECO:0000102,CHEBI:15551,none,none,,,
ZDB-EXP-060228-5,ZECO:0000102,CHEBI:15551,none,none,,,
ZDB-EXP-060311-2,ZECO:0000102,CHEBI:28119,none,none,,,
ZDB-EXP-060311-4,ZECO:0000102,CHEBI:35456,none,none,,,
ZDB-EXP-060311-4,ZECO:0000102,CHEBI:28119,none,none,,,
ZDB-EXP-060315-4,ZECO:0000102,CHEBI:26536,none,none,,,
ZDB-EXP-060315-5,ZECO:0000106,1781,none,none,,,
ZDB-EXP-060317-1,ZECO:0000102,CHEBI:29105,none,none,,,
ZDB-EXP-060317-2,ZECO:0000102,CHEBI:29105,none,none,,,
ZDB-EXP-060317-3,ZECO:0000102,CHEBI:29105,none,none,,,
ZDB-EXP-060321-3,ZECO:0000229,,none,none,,,
ZDB-EXP-060322-1,ZECO:0000166,,none,none,,,
ZDB-EXP-060322-1,ZECO:0000229,,none,none,,,
ZDB-EXP-060331-4,ZECO:0000102,CHEBI:86193,none,none,,,
ZDB-EXP-060407-10,ZECO:0000149,,none,none,,,
ZDB-EXP-060407-11,ZECO:0000150,,none,none,,,
ZDB-EXP-060407-12,ZECO:0000146,,none,none,,,
ZDB-EXP-060407-3,ZECO:0000149,,none,none,,,
ZDB-EXP-060407-4,ZECO:0000149,,none,none,,,
ZDB-EXP-060407-5,ZECO:0000149,,none,none,,,
ZDB-EXP-060407-6,ZECO:0000149,,none,none,,,
ZDB-EXP-060407-7,ZECO:0000149,,none,none,,,
ZDB-EXP-060407-8,ZECO:0000149,,none,none,,,
ZDB-EXP-060407-9,ZECO:0000149,,none,none,,,
ZDB-EXP-060411-1,ZECO:0000102,CHEBI:15367,none,none,,,
ZDB-EXP-060411-3,ZECO:0000102,CHEBI:15367,none,none,,,
ZDB-EXP-060418-2,ZECO:0000102,CHEBI:63449,none,none,,,
ZDB-EXP-060420-1,ZECO:0000237,,none,none,,,
ZDB-EXP-060420-2,ZECO:0000102,CHEBI:23888,none,none,,,
ZDB-EXP-060420-3,ZECO:0000102,,none,none,,,
ZDB-EXP-060421-1,ZECO:0000102,,none,none,,,
ZDB-EXP-060426-1,ZECO:0000102,CHEBI:27436,none,none,,,
ZDB-EXP-060426-1,ZECO:0000102,,none,none,,,
ZDB-EXP-060426-2,ZECO:0000102,CHEBI:4903,none,none,,,
ZDB-EXP-060426-2,ZECO:0000102,,none,none,,,
ZDB-EXP-060426-3,ZECO:0000102,,none,none,,,
ZDB-EXP-060509-1,ZECO:0000102,CHEBI:4021,none,none,,,
ZDB-EXP-060518-1,ZECO:0000102,CHEBI:4021,none,none,,,
ZDB-EXP-060518-2,ZECO:0000102,CHEBI:4021,none,none,,,
ZDB-EXP-060518-3,ZECO:0000102,CHEBI:4021,none,none,,,
ZDB-EXP-060519-1,ZECO:0000102,CHEBI:35212,none,none,,,
ZDB-EXP-060519-2,ZECO:0000102,CHEBI:63449,none,none,,,
ZDB-EXP-060520-1,ZECO:0000102,CHEBI:35222,none,none,,,
ZDB-EXP-060520-2,ZECO:0000102,,none,none,,,
ZDB-EXP-060522-1,ZECO:0000149,,none,none,,,
ZDB-EXP-060522-2,ZECO:0000146,,none,none,,,
ZDB-EXP-060522-3,ZECO:0000146,,none,none,,,
ZDB-EXP-060522-4,ZECO:0000146,,none,none,,,
ZDB-EXP-060522-5,ZECO:0000146,,none,none,,,
ZDB-EXP-060522-6,ZECO:0000146,,none,none,,,
ZDB-EXP-060522-7,ZECO:0000150,,none,none,,,
ZDB-EXP-060524-3,ZECO:0000102,CHEBI:16236,none,none,,,
ZDB-EXP-060531-1,ZECO:0000102,CHEBI:9495,none,none,,,
ZDB-EXP-060609-1,ZECO:0000166,,none,none,,,
ZDB-EXP-060610-4,ZECO:0000102,CHEBI:16469,none,none,,,
ZDB-EXP-060610-5,ZECO:0000102,CHEBI:16469,none,none,,,
ZDB-EXP-060610-6,ZECO:0000102,CHEBI:16469,none,none,,,
ZDB-EXP-060610-7,ZECO:0000102,CHEBI:16469,none,none,,,
ZDB-EXP-060614-1,ZECO:0000237,,none,none,,,
ZDB-EXP-060614-2,ZECO:0000237,CHEBI:23888,none,none,,,
ZDB-EXP-060615-2,ZECO:0000149,,none,none,,,
ZDB-EXP-060619-1,ZECO:0000149,,none,none,,,
ZDB-EXP-060619-2,ZECO:0000102,CHEBI:17263,none,none,,,
ZDB-EXP-060619-3,ZECO:0000102,CHEBI:16469,none,none,,,
ZDB-EXP-060619-4,ZECO:0000102,CHEBI:4903,none,none,,,
ZDB-EXP-060619-5,ZECO:0000102,CHEBI:23888,none,none,,,
ZDB-EXP-060619-6,ZECO:0000102,CHEBI:28088,none,none,,,
ZDB-EXP-060620-2,ZECO:0000102,CHEBI:63449,none,none,,,
ZDB-EXP-060620-3,ZECO:0000102,CHEBI:63449,none,none,,,
ZDB-EXP-060621-1,ZECO:0000106,216594,none,none,,,
ZDB-EXP-060621-2,ZECO:0000106,1131442,none,none,,,
ZDB-EXP-060623-1,ZECO:0000166,,none,none,,,
ZDB-EXP-060626-1,ZECO:0000102,CHEBI:86193,none,none,,,
ZDB-EXP-060627-10,ZECO:0000102,CHEBI:32497,none,none,,,
ZDB-EXP-060627-11,ZECO:0000102,CHEBI:32497,none,none,,,
ZDB-EXP-060627-14,ZECO:0000102,,none,none,,,
ZDB-EXP-060627-7,ZECO:0000102,CHEBI:86193,none,none,,,
ZDB-EXP-060628-1,ZECO:0000166,,none,none,,,
ZDB-EXP-060628-2,ZECO:0000166,,none,none,,,
ZDB-EXP-060628-3,ZECO:0000166,,none,none,,,
ZDB-EXP-060629-1,ZECO:0000102,,none,none,,,
ZDB-EXP-060706-1,ZECO:0000102,CHEBI:48607,none,none,,,
ZDB-EXP-060706-10,ZECO:0000102,CHEBI:33216,none,none,,,
ZDB-EXP-060706-8,ZECO:0000102,CHEBI:16469,none,none,,,
ZDB-EXP-060706-9,ZECO:0000102,CHEBI:4903,none,none,,,
ZDB-EXP-060708-1,ZECO:0000102,CHEBI:35456,none,none,,,
ZDB-EXP-060719-1,ZECO:0000148,,none,none,,,
ZDB-EXP-060719-10,ZECO:0000146,,none,none,,,
ZDB-EXP-060719-11,ZECO:0000146,,none,none,,,
ZDB-EXP-060719-12,ZECO:0000146,,none,none,,,
ZDB-EXP-060719-13,ZECO:0000146,,none,none,,,
ZDB-EXP-060719-14,ZECO:0000146,,none,none,,,
ZDB-EXP-060719-15,ZECO:0000146,,none,none,,,
ZDB-EXP-060719-16,ZECO:0000146,,none,none,,,
ZDB-EXP-060719-17,ZECO:0000146,,none,none,,,
ZDB-EXP-060719-18,ZECO:0000146,,none,none,,,
ZDB-EXP-060719-19,ZECO:0000102,CHEBI:28119,none,none,,,
ZDB-EXP-060719-2,ZECO:0000149,,none,none,,,
ZDB-EXP-060719-21,ZECO:0000102,CHEBI:28119,none,none,,,
ZDB-EXP-060719-22,ZECO:0000102,CHEBI:4021,none,none,,,
ZDB-EXP-060719-23,ZECO:0000148,,none,none,,,
ZDB-EXP-060719-25,ZECO:0000229,ZFA:0001058,none,none,,,
ZDB-EXP-060719-3,ZECO:0000150,,none,none,,,
ZDB-EXP-060719-4,ZECO:0000148,,none,none,,,
ZDB-EXP-060719-5,ZECO:0000146,,none,none,,,
ZDB-EXP-060719-6,ZECO:0000146,,none,none,,,
ZDB-EXP-060719-7,ZECO:0000146,,none,none,,,
ZDB-EXP-060719-8,ZECO:0000146,,none,none,,,
ZDB-EXP-060719-9,ZECO:0000146,,none,none,,,
ZDB-EXP-060720-1,ZECO:0000238,CHEBI:472805,none,none,,,
ZDB-EXP-060721-1,ZECO:0000102,,none,none,,,
ZDB-EXP-060721-1,ZECO:0000149,,none,none,,,
ZDB-EXP-060721-2,ZECO:0000102,,none,none,,,
ZDB-EXP-060721-2,ZECO:0000149,,none,none,,,
ZDB-EXP-060721-3,ZECO:0000149,,none,none,,,
ZDB-EXP-060721-3,ZECO:0000102,CHEBI:86194,none,none,,,
ZDB-EXP-060721-4,ZECO:0000102,CHEBI:15367,none,none,,,
ZDB-EXP-060721-4,ZECO:0000149,,none,none,,,
ZDB-EXP-060721-4,ZECO:0000102,CHEBI:86194,none,none,,,
ZDB-EXP-060721-5,ZECO:0000102,CHEBI:15367,none,none,,,
ZDB-EXP-060721-5,ZECO:0000149,,none,none,,,
ZDB-EXP-060721-6,ZECO:0000149,,none,none,,,
ZDB-EXP-060721-7,ZECO:0000102,CHEBI:35456,none,none,,,
ZDB-EXP-060721-8,ZECO:0000102,CHEBI:35456,none,none,,,
