genox_zdb_id,genox_exp_zdb_id,genox_is_standard,genox_is_std_or_generic_control,genox_fish_zdb_id
ZDB-GENOX-170630-24,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-17
ZDB-GENOX-170630-25,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-19
ZDB-GENOX-170630-26,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-20
ZDB-GENOX-170630-27,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-21
ZDB-GENOX-170630-28,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-13
ZDB-GENOX-170630-29,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-15
ZDB-GENOX-170630-3,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-1
ZDB-GENOX-170630-30,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-18
ZDB-GENOX-170630-31,ZDB-EXP-170630-2,f,f,ZDB-FISH-150901-29105
ZDB-GENOX-170630-32,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-10
ZDB-GENOX-170630-33,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-9
ZDB-GENOX-170630-4,ZDB-EXP-070511-5,t,t,ZDB-FISH-150901-21732
ZDB-GENOX-170630-5,ZDB-EXP-070511-5,t,t,ZDB-FISH-170630-2
ZDB-GENOX-170630-6,ZDB-EXP-070511-5,t,t,ZDB-FISH-170630-3
ZDB-GENOX-170630-7,ZDB-EXP-070511-5,t,t,ZDB-FISH-170630-4
ZDB-GENOX-170630-8,ZDB-EXP-070511-5,t,t,ZDB-FISH-170630-5
ZDB-GENOX-170630-9,ZDB-EXP-041102-1,t,t,ZDB-FISH-170629-12
ZDB-GENOX-170703-1,ZDB-EXP-070511-5,t,t,ZDB-FISH-170703-1
ZDB-GENOX-170703-2,ZDB-EXP-041102-1,t,t,ZDB-FISH-170703-1
ZDB-GENOX-170703-22,ZDB-EXP-170703-1,f,f,ZDB-FISH-150901-29105
ZDB-GENOX-170703-23,ZDB-EXP-041102-1,t,t,ZDB-FISH-170703-3
ZDB-GENOX-170703-3,ZDB-EXP-041102-1,t,t,ZDB-FISH-170703-2
ZDB-GENOX-170705-1,ZDB-EXP-041102-1,t,t,ZDB-FISH-170705-1
ZDB-GENOX-170705-2,ZDB-EXP-070511-5,t,t,ZDB-FISH-170705-2
ZDB-GENOX-170705-3,ZDB-EXP-070511-5,t,t,ZDB-FISH-170705-4
ZDB-GENOX-170705-4,ZDB-EXP-070511-5,t,t,ZDB-FISH-170705-3
ZDB-GENOX-170705-5,ZDB-EXP-070511-5,t,t,ZDB-FISH-170705-5
ZDB-GENOX-170705-6,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-22
ZDB-GENOX-170705-7,ZDB-EXP-170630-1,f,f,ZDB-FISH-170630-9
ZDB-GENOX-170705-8,ZDB-EXP-041102-1,t,t,ZDB-FISH-170705-6
ZDB-GENOX-170706-1,ZDB-EXP-070511-5,t,t,ZDB-FISH-170629-11
ZDB-GENOX-170706-10,ZDB-EXP-041102-1,t,t,ZDB-FISH-170706-4
ZDB-GENOX-170706-11,ZDB-EXP-041102-1,t,t,ZDB-FISH-170706-5
ZDB-GENOX-170706-12,ZDB-EXP-170706-4,f,f,ZDB-FISH-150901-29105
ZDB-GENOX-170706-13,ZDB-EXP-070511-5,t,t,ZDB-FISH-170706-8
ZDB-GENOX-170706-14,ZDB-EXP-070511-5,t,t,ZDB-FISH-170706-6
ZDB-GENOX-170706-15,ZDB-EXP-070511-5,t,t,ZDB-FISH-170706-9
ZDB-GENOX-170706-16,ZDB-EXP-070511-5,t,t,ZDB-FISH-170706-7
ZDB-GENOX-170706-17,ZDB-EXP-070511-5,t,t,ZDB-FISH-150901-28644
ZDB-GENOX-170706-2,ZDB-EXP-170629-3,f,f,ZDB-FISH-170629-11
ZDB-GENOX-170706-3,ZDB-EXP-170629-3,f,f,ZDB-FISH-170629-12
ZDB-GENOX-170706-4,ZDB-EXP-041102-1,t,t,ZDB-FISH-170706-1
ZDB-GENOX-170706-5,ZDB-EXP-041102-1,t,t,ZDB-FISH-170706-2
ZDB-GENOX-170706-6,ZDB-EXP-041102-1,t,t,ZDB-FISH-170629-16
