alleleid,ensdarg1,ensdarg2
sa38204,ENSDARG00000090354,ENSDARG00000106968
sa41301,ENSDARG00000068026,ENSDARG00000068026
sa9236,ENSDARG00000077255,ENSDARG00000098597
sa22270,ENSDARG00000076088,ENSDARG00000076088
sa21409,ENSDARG00000060912,
sa40863,ENSDARG00000077986,ENSDARG00000077986
sa9152,ENSDARG00000087012,ENSDARG00000087012
sa44372,ENSDARG00000067585,ENSDARG00000105029
sa37592,ENSDARG00000091008,
sa42623,ENSDARG00000087563,
sa36014,ENSDARG00000074515,
sa39514,ENSDARG00000076498,
sa41092,ENSDARG00000073995,ENSDARG00000073995
sa36241,ENSDARG00000078347,ENSDARG00000078347
sa30413,ENSDARG00000091642,
sa31967,ENSDARG00000045666,ENSDARG00000045666
sa26528,ENSDARG00000089543,ENSDARG00000089543
sa44428,ENSDARG00000088237,
sa38491,ENSDARG00000089543,ENSDARG00000089543
sa33085,ENSDARG00000088111,ENSDARG00000104174
sa37609,ENSDARG00000086554,ENSDARG00000108336
sa8491,ENSDARG00000075992,
sa40816,ENSDARG00000063606,
sa35567,ENSDARG00000088460,
sa20599,ENSDARG00000032111,ENSDARG00000099908
sa32563,ENSDARG00000091844,
sa23834,ENSDARG00000075546,
sa38202,ENSDARG00000039716,
sa41602,ENSDARG00000058284,ENSDARG00000102794
sa38592,ENSDARG00000079039,
sa36018,ENSDARG00000089393,
sa33519,ENSDARG00000091765,
sa36269,ENSDARG00000069929,ENSDARG00000069929
sa23189,ENSDARG00000089607,ENSDARG00000089607
sa38659,ENSDARG00000089405,ENSDARG00000104501
sa41565,ENSDARG00000013400,
sa41046,ENSDARG00000073856,ENSDARG00000073856
sa43940,ENSDARG00000056910,ENSDARG00000056910
sa31850,ENSDARG00000037357,ENSDARG00000037357
sa44430,ENSDARG00000035227,ENSDARG00000099322
sa42313,ENSDARG00000090744,
sa42859,ENSDARG00000053062,ENSDARG00000053062
sa39965,ENSDARG00000056461,ENSDARG00000069019
sa42858,ENSDARG00000088631,ENSDARG00000088631
sa38909,ENSDARG00000079171,ENSDARG00000098856
sa38184,ENSDARG00000054200,ENSDARG00000100769
sa38283,ENSDARG00000090867,
sa33991,ENSDARG00000090525,
sa39126,ENSDARG00000036284,ENSDARG00000036284
sa38187,ENSDARG00000022487,ENSDARG00000098090
sa39983,ENSDARG00000088172,
sa9244,ENSDARG00000036281,ENSDARG00000036281
sa39961,ENSDARG00000073679,
sa44380,ENSDARG00000087314,ENSDARG00000100344
sa41646,ENSDARG00000078262,
sa38452,ENSDARG00000078938,ENSDARG00000078938
sa38976,ENSDARG00000037832,
sa38217,ENSDARG00000059910,ENSDARG00000100473
sa39575,ENSDARG00000089762,ENSDARG00000108082
sa33490,ENSDARG00000087673,ENSDARG00000104041
sa33084,ENSDARG00000079292,
sa32566,ENSDARG00000091202,
sa35587,ENSDARG00000001637,ENSDARG00000098286
sa8951,ENSDARG00000078680,
sa19936,ENSDARG00000088795,ENSDARG00000088795
sa39506,ENSDARG00000043852,ENSDARG00000098418
sa43765,ENSDARG00000089356,ENSDARG00000089356
sa42644,ENSDARG00000074515,
sa41075,ENSDARG00000087092,ENSDARG00000087092
sa31419,ENSDARG00000078515,ENSDARG00000101452
sa44436,ENSDARG00000090897,ENSDARG00000100473
sa35767,ENSDARG00000053183,ENSDARG00000103613
sa33510,ENSDARG00000061753,
sa32631,ENSDARG00000089762,ENSDARG00000108082
sa8768,ENSDARG00000078952,
sa37923,ENSDARG00000067683,
sa32728,ENSDARG00000090867,
sa23335,ENSDARG00000068104,ENSDARG00000068104
sa8735,ENSDARG00000091359,ENSDARG00000091359
sa19019,ENSDARG00000088956,ENSDARG00000088956
sa38191,ENSDARG00000090610,ENSDARG00000107489
sa30652,ENSDARG00000069333,ENSDARG00000069333
sa39504,ENSDARG00000053220,
sa33789,ENSDARG00000088575,
