expid,cdtid,zecoid,aotermid,chebiTermId,otherTermId,cctermid
ZDB-EXP-050815-3,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:50217,
ZDB-EXP-050815-4,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:641,
ZDB-EXP-050816-1,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:50673,
ZDB-EXP-050816-2,ZDB-CDT-050127-20,ZECO:0000102,none,none,CHEBI:60311,
ZDB-EXP-050816-3,ZDB-CDT-050127-20,ZECO:0000102,none,none,CHEBI:60311,
ZDB-EXP-050816-3,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:50673,
ZDB-EXP-050817-1,ZDB-CDT-050127-11,ZECO:0000102,none,none,CHEBI:16236,
ZDB-EXP-050819-3,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-050826-1,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-050830-3,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:3764,
ZDB-EXP-050830-4,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:16581,
ZDB-EXP-050831-2,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-050831-3,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-050831-6,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-050901-5,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-050901-5,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-050920-2,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:86193,
ZDB-EXP-050922-3,ZDB-CDT-070911-1,ZECO:0000102,none,none,CHEBI:472552,
ZDB-EXP-050923-1,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:4031,
ZDB-EXP-050923-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:17051,
ZDB-EXP-050926-1,ZDB-CDT-050127-16,ZECO:0000102,none,none,CHEBI:4021,
ZDB-EXP-050926-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-050927-4,ZDB-CDT-050127-15,ZECO:0000102,none,none,CHEBI:15367,
ZDB-EXP-050929-1,ZDB-CDT-050127-13,ZECO:0000102,none,none,CHEBI:16469,
ZDB-EXP-051013-3,ZDB-CDT-050127-15,ZECO:0000102,none,none,CHEBI:15367,
ZDB-EXP-051014-1,ZDB-CDT-051014-1,ZECO:0000102,none,none,CHEBI:9513,
ZDB-EXP-051014-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:17761 ,
ZDB-EXP-051014-3,ZDB-CDT-051014-1,ZECO:0000102,none,none,CHEBI:9513,
ZDB-EXP-051014-4,ZDB-CDT-050127-2,ZECO:0000162,none,none,,
ZDB-EXP-051017-1,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:37550,
ZDB-EXP-051017-1,ZDB-CDT-051014-1,ZECO:0000102,none,none,CHEBI:9513,
ZDB-EXP-051017-2,ZDB-CDT-050127-2,ZECO:0000162,none,none,,
ZDB-EXP-051018-1,ZDB-CDT-050127-17,ZECO:0000102,none,none,CHEBI:28119,
ZDB-EXP-051018-6,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:78886,
ZDB-EXP-051019-1,ZDB-CDT-050127-16,ZECO:0000102,none,none,CHEBI:4021,
ZDB-EXP-051027-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:42471,
ZDB-EXP-051031-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:9516,
ZDB-EXP-051031-8,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:9516,
ZDB-EXP-051101-1,ZDB-CDT-050823-4,ZECO:0000229,none,none,ZFA:0000108,
ZDB-EXP-051101-2,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-051101-2,ZDB-CDT-050823-4,ZECO:0000229,none,none,ZFA:0000108,
ZDB-EXP-051101-3,ZDB-CDT-050823-4,ZECO:0000172,none,none,,
ZDB-EXP-051101-3,ZDB-CDT-050127-2,ZECO:0000162,none,none,,
ZDB-EXP-051101-4,ZDB-CDT-050823-4,ZECO:0000172,none,none,,
ZDB-EXP-051101-4,ZDB-CDT-050127-2,ZECO:0000162,none,none,,
ZDB-EXP-051101-5,ZDB-CDT-050823-4,ZECO:0000229,none,none,,
ZDB-EXP-051101-5,ZDB-CDT-050127-2,ZECO:0000162,none,none,,
ZDB-EXP-051101-6,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-051101-6,ZDB-CDT-050823-4,ZECO:0000229,none,none,,
ZDB-EXP-051101-7,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-051101-7,ZDB-CDT-050823-4,ZECO:0000229,none,none,,
ZDB-EXP-051102-4,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-051102-5,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-051102-6,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-051102-7,ZDB-CDT-050127-16,ZECO:0000102,none,none,CHEBI:4021,
ZDB-EXP-051102-8,ZDB-CDT-050127-16,ZECO:0000102,none,none,CHEBI:4021,
ZDB-EXP-051102-8,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-051103-3,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:27563,
ZDB-EXP-051103-4,ZDB-CDT-050823-2,ZECO:0000110,none,none,103603,
ZDB-EXP-051103-5,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:27563,
ZDB-EXP-051103-5,ZDB-CDT-050823-2,ZECO:0000110,none,none,103603,
ZDB-EXP-051104-3,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-051108-1,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-051110-1,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-051110-2,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-051111-1,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-051111-4,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-051117-4,ZDB-CDT-050823-4,ZECO:0000181,none,none,ZFA:0000075,
ZDB-EXP-051130-1,ZDB-CDT-050823-8,ZECO:0000189,none,none,,
ZDB-EXP-051202-3,ZDB-CDT-050823-4,ZECO:0000229,none,none,,
ZDB-EXP-051205-1,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:86194,
ZDB-EXP-051205-3,ZDB-CDT-050127-15,ZECO:0000102,none,none,CHEBI:15367,
ZDB-EXP-051205-6,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-051205-7,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-051205-8,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:86194,
ZDB-EXP-051206-1,ZDB-CDT-050127-15,ZECO:0000102,none,none,CHEBI:15367,
ZDB-EXP-051206-1,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:86194,
ZDB-EXP-051209-2,ZDB-CDT-050127-15,ZECO:0000102,none,none,CHEBI:15367,
ZDB-EXP-051220-5,ZDB-CDT-050127-16,ZECO:0000102,none,none,CHEBI:4021,
ZDB-EXP-051220-6,ZDB-CDT-051220-2,ZECO:0000144,none,none,ZFA:0001110,
ZDB-EXP-051220-6,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-051220-7,ZDB-CDT-050127-20,ZECO:0000102,none,none,,
ZDB-EXP-051220-7,ZDB-CDT-051220-2,ZECO:0000144,none,none,ZFA:0001110,
ZDB-EXP-051220-8,ZDB-CDT-050127-20,ZECO:0000102,none,none,,
ZDB-EXP-051220-8,ZDB-CDT-051220-2,ZECO:0000144,none,none,ZFA:0001110,
ZDB-EXP-051220-8,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-051228-1,ZDB-CDT-051220-2,ZECO:0000144,none,none,ZFA:0000093,
ZDB-EXP-051228-2,ZDB-CDT-051220-2,ZECO:0000144,none,none,ZFA:0000093,
ZDB-EXP-060104-4,ZDB-CDT-050127-19,ZECO:0000102,none,none,CHEBI:28851,
ZDB-EXP-060104-5,ZDB-CDT-050127-19,ZECO:0000102,none,none,CHEBI:23681,
ZDB-EXP-060104-6,ZDB-CDT-050127-19,ZECO:0000102,none,none,,
ZDB-EXP-060105-1,ZDB-CDT-050127-19,ZECO:0000102,none,none,CHEBI:39106,
ZDB-EXP-060105-5,ZDB-CDT-050127-19,ZECO:0000102,none,none,CHEBI:51687,
ZDB-EXP-060105-6,ZDB-CDT-050127-23,ZECO:0000102,none,none,,
ZDB-EXP-060105-6,ZDB-CDT-050127-19,ZECO:0000102,none,none,,
ZDB-EXP-060105-9,ZDB-CDT-050127-19,ZECO:0000102,none,none,,
ZDB-EXP-060109-1,ZDB-CDT-050127-19,ZECO:0000102,none,none,CHEBI:39106,
ZDB-EXP-060109-2,ZDB-CDT-050127-19,ZECO:0000102,none,none,CHEBI:51687,
ZDB-EXP-060109-3,ZDB-CDT-050127-19,ZECO:0000102,none,none,CHEBI:51687,
ZDB-EXP-060109-4,ZDB-CDT-050127-19,ZECO:0000102,none,none,CHEBI:51687,
ZDB-EXP-060109-5,ZDB-CDT-050127-19,ZECO:0000102,none,none,CHEBI:51687,
