GAF Load Error Summary
============================================================
Total errors: 3,317
Unique error categories: 641

Error Counts by Category
------------------------------------------------------------
   2,180  Goref ID is not known or loaded
       1  Cannot add root-term annotation GO:0003674 for marker 'mhc2d8.35b2' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'mhc2dbb' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'mief2' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'mios' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'mllt3' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'mmadhcb' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'mmd' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'mnmip1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'mob2a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'mob2b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'mon1a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'mpp2a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'mpp2b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'mpv17' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'mrpl49' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'muc5.3' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'nagk' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'nagpa' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'nipsnap1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'nipsnap3a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'nog1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'nog2' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'nog3' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'nol12' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'nptx1l' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'nptxra' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'nptxrb' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'nucb1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'nufip2' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'nup210' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'nxph1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ogfr1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ogfr2' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ostc' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'pabir2' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'pak1ip1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'pals2a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'paqr3b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'parp12b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'phtf1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'phtf2' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'pno1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ppp1r21' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'prr15la' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'psmf1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ptmaa' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'rab11fip5b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'rabgef1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'rbm20' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'rbm33a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'rbm46' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'rcc2' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'rcn1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'retreg2' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'rlig1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'rmp64' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ro60' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'rtbdn' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'sack1gb' as there are already non-root term annotations existent.
