cneid,cneabbrev,cnetype,nccrid,nccrabbrev,nccrname,nccrtype
ZDB-CNE-181002-90,nc.dachd.232,CNE,ZDB-CNE-181002-90,nccr.dachd.232,conserved non-coding element dachd_232,NCCR
ZDB-CNE-181002-91,nc.meis2a.984/5/6,CNE,ZDB-CNE-181002-91,nccr.meis2a.984/5/6,conserved non-coding element meis2a_984/5/6,NCCR
ZDB-CNE-181002-92,nc.shox.11103,CNE,ZDB-CNE-181002-92,nccr.shox.11103,conserved non-coding element shox_11103,NCCR
ZDB-CNE-181002-93,nc.sall3a.3016,CNE,ZDB-CNE-181002-93,nccr.sall3a.3016,conserved non-coding element sall3a_3016,NCCR
ZDB-CNE-181002-94,nc.cst.9931,CNE,ZDB-CNE-181002-94,nccr.cst.9931,conserved non-coding element cst_9931,NCCR
ZDB-CNE-181002-95,nc.fign.5108,CNE,ZDB-CNE-181002-95,nccr.fign.5108,conserved non-coding element fign_5108,NCCR
ZDB-CNE-181002-96,nc.gli3.2148,CNE,ZDB-CNE-181002-96,nccr.gli3.2148,conserved non-coding element gli3_2148,NCCR
ZDB-CNE-181002-97,nc.emx2.4543,CNE,ZDB-CNE-181002-97,nccr.emx2.4543,conserved non-coding element emx2_4543,NCCR
ZDB-CNE-181002-98,nc.foxp2.3468,CNE,ZDB-CNE-181002-98,nccr.foxp2.3468,conserved non-coding element foxp2_3468,NCCR
ZDB-CNE-181002-99,nc.meis2a.982,CNE,ZDB-CNE-181002-99,nccr.meis2a.982,conserved non-coding element meis2a_982,NCCR
ZDB-CNE-181002-100,nc.auts2.8975,CNE,ZDB-CNE-181002-100,nccr.auts2.8975,conserved non-coding element auts2_8975,NCCR
ZDB-CNE-181002-101,nc.tshz1.8800,CNE,ZDB-CNE-181002-101,nccr.tshz1.8800,conserved non-coding element tshz1_8800,NCCR
ZDB-CNE-181002-102,nc.dachd.240,CNE,ZDB-CNE-181002-102,nccr.dachd.240,conserved non-coding element dachd_240,NCCR
ZDB-CNE-181002-103,nc.evi1.10731,CNE,ZDB-CNE-181002-103,nccr.evi1.10731,conserved non-coding element evi1_10731,NCCR
ZDB-CNE-181002-104,nc.shox2.5643,CNE,ZDB-CNE-181002-104,nccr.shox2.5643,conserved non-coding element shox2_5643,NCCR
ZDB-CNE-181002-105,nc.pax2a.90,CNE,ZDB-CNE-181002-105,nccr.pax2a.90,conserved non-coding element pax2a_90,NCCR
ZDB-CNE-181002-106,nc.meis2a.960,CNE,ZDB-CNE-181002-106,nccr.meis2a.960,conserved non-coding element meis2a_960,NCCR
ZDB-CNE-181002-107,nc.lmo1.6396,CNE,ZDB-CNE-181002-107,nccr.lmo1.6396,conserved non-coding element lmo1_6396,NCCR
ZDB-CNE-181002-108,nc.nr2f2.8394,CNE,ZDB-CNE-181002-108,nccr.nr2f2.8394,conserved non-coding element nr2f2_8394,NCCR
ZDB-CNE-181002-109,nc.pax1a.10260,CNE,ZDB-CNE-181002-109,nccr.pax1a.10260,conserved non-coding element pax1a_10260,NCCR
ZDB-CNE-181002-110,nc.znf503.10196,CNE,ZDB-CNE-181002-110,nccr.znf503.10196,conserved non-coding element znf503_10196,NCCR
ZDB-CNE-181002-111,nc.emx2.4548,CNE,ZDB-CNE-181002-111,nccr.emx2.4548,conserved non-coding element emx2_4548,NCCR
ZDB-CNE-181002-112,nc.tshz1.8804,CNE,ZDB-CNE-181002-112,nccr.tshz1.8804,conserved non-coding element tshz1_8804,NCCR
ZDB-CNE-181002-113,nc.hoxd.10483,CNE,ZDB-CNE-181002-113,nccr.hoxd.10483,conserved non-coding element hoxd_10483,NCCR
