allele,fish_abbrev,locus_name,locus_abbrev,mutation,mutagen,m bkgrd,p bkgrd,reference
t31077,un-named t31077<sup>t31077</sup>,un-named t31077,unm t31077,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31109,un-named t31109<sup>t31109</sup>,un-named t31109,unm t31109,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31201,un-named t31201<sup>t31201</sup>,un-named t31201,unm t31201,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31202,un-named t31202<sup>t31202</sup>,un-named t31202,unm t31202,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31203,un-named t31203<sup>t31203</sup>,un-named t31203,unm t31203,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31442,un-named t31442<sup>t31442</sup>,un-named t31442,unm t31442,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31443,un-named t31443<sup>t31443</sup>,un-named t31443,unm t31443,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31444,un-named t31444<sup>t31444</sup>,un-named t31444,unm t31444,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31493,un-named t31493<sup>t31493</sup>,un-named t31493,unm t31493,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31130,un-named t31130<sup>t31130</sup>,un-named t31130,unm t31130,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31131,un-named t31131<sup>t31131</sup>,un-named t31131,unm t31131,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31134,un-named t31134<sup>t31134</sup>,un-named t31134,unm t31134,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31171,un-named t31171<sup>t31171</sup>,un-named t31171,unm t31171,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31173,un-named t31173<sup>t31173</sup>,un-named t31173,unm t31173,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31180,un-named t31180<sup>t31180</sup>,un-named t31180,unm t31180,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31016,un-named t31016<sup>t31016</sup>,un-named t31016,unm t31016,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31053,un-named t31053<sup>t31053</sup>,un-named t31053,unm t31053,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31089,un-named t31089<sup>t31089</sup>,un-named t31089,unm t31089,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31091,un-named t31091<sup>t31091</sup>,un-named t31091,unm t31091,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31115,un-named t31115<sup>t31115</sup>,un-named t31115,unm t31115,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31187,un-named t31187<sup>t31187</sup>,un-named t31187,unm t31187,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31188,un-named t31188<sup>t31188</sup>,un-named t31188,unm t31188,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31376,un-named t31376<sup>t31376</sup>,un-named t31376,unm t31376,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31416,un-named t31416<sup>t31416</sup>,un-named t31416,unm t31416,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31417,un-named t31417<sup>t31417</sup>,un-named t31417,unm t31417,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31425,un-named t31425<sup>t31425</sup>,un-named t31425,unm t31425,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31426,un-named t31426<sup>t31426</sup>,un-named t31426,unm t31426,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31427,un-named t31427<sup>t31427</sup>,un-named t31427,unm t31427,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31475,un-named t31475<sup>t31475</sup>,un-named t31475,unm t31475,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31296,un-named t31296<sup>t31296</sup>,un-named t31296,unm t31296,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31367,un-named t31367<sup>t31367</sup>,un-named t31367,unm t31367,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31368,un-named t31368<sup>t31368</sup>,un-named t31368,unm t31368,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31370,un-named t31370<sup>t31370</sup>,un-named t31370,unm t31370,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31371,un-named t31371<sup>t31371</sup>,un-named t31371,unm t31371,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31445,un-named t31445<sup>t31445</sup>,un-named t31445,unm t31445,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31448,un-named t31448<sup>t31448</sup>,un-named t31448,unm t31448,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31449,un-named t31449<sup>t31449</sup>,un-named t31449,unm t31449,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31530,un-named t31530<sup>t31530</sup>,un-named t31530,unm t31530,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31531,un-named t31531<sup>t31531</sup>,un-named t31531,unm t31531,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31532,un-named t31532<sup>t31532</sup>,un-named t31532,unm t31532,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31533,un-named t31533<sup>t31533</sup>,un-named t31533,unm t31533,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31559,un-named t31559<sup>t31559</sup>,un-named t31559,unm t31559,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30987,un-named t30987<sup>t30987</sup>,un-named t30987,unm t30987,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31065,un-named t31065<sup>t31065</sup>,un-named t31065,unm t31065,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
