featureid,variantnote,allelenote
ZDB-ALT-120221-9,variant,allele
ZDB-ALT-120220-12,variant,allele
ZDB-ALT-131029-24,variant,allele
ZDB-ALT-131029-13,variant,allele
ZDB-ALT-110805-4,variant,allele
ZDB-ALT-110805-3,variant,allele
ZDB-ALT-131029-21,variant,allele
ZDB-ALT-131029-22,variant,allele
ZDB-ALT-120220-11,variant,allele
ZDB-ALT-120220-9,variant,allele
ZDB-ALT-131029-17,variant,allele
ZDB-ALT-131029-16,variant,allele
ZDB-ALT-131029-23,variant,allele
ZDB-ALT-190523-1,variant,allele
ZDB-ALT-190819-1,variant,allele
ZDB-ALT-200114-1,variant,allele
ZDB-ALT-140109-24,variant,allele
ZDB-ALT-140109-14,variant,allele
ZDB-ALT-140109-16,variant,allele
ZDB-ALT-140109-29,variant,allele
ZDB-ALT-140109-28,variant,allele
ZDB-ALT-140109-11,variant,allele
ZDB-ALT-140109-34,variant,allele
ZDB-ALT-140109-33,variant,allele
ZDB-ALT-140109-32,variant,allele
ZDB-ALT-140109-18,variant,allele
ZDB-ALT-140109-31,variant,allele
ZDB-ALT-140109-17,variant,allele
ZDB-ALT-140109-20,variant,allele
ZDB-ALT-140109-22,variant,allele
ZDB-ALT-140109-12,variant,allele
ZDB-ALT-140109-19,variant,allele
ZDB-ALT-010427-4,variant,allele
ZDB-ALT-120220-7,variant,allele
ZDB-ALT-120220-8,variant,allele
ZDB-ALT-120220-16,variant,allele
ZDB-ALT-120220-15,variant,allele
ZDB-ALT-141031-1,variant,allele
ZDB-ALT-080828-4,variant,allele
ZDB-ALT-130531-5,variant,allele
ZDB-ALT-130306-3,variant,allele
ZDB-ALT-130306-4,variant,allele
ZDB-ALT-020426-92,variant,allele
ZDB-ALT-140509-2,variant,allele
ZDB-ALT-080523-7,variant,allele
ZDB-ALT-080523-9,variant,allele
ZDB-ALT-080523-6,variant,allele
ZDB-ALT-080523-4,variant,allele
ZDB-ALT-180209-1,variant,allele
ZDB-ALT-180209-2,variant,allele
ZDB-ALT-180209-3,variant,allele
ZDB-ALT-180209-4,variant,allele
ZDB-ALT-111118-5,variant,allele
ZDB-ALT-100129-38,variant,allele
ZDB-ALT-100129-24,variant,allele
ZDB-ALT-100129-73,variant,allele
ZDB-ALT-100129-108,variant,allele
ZDB-ALT-100129-19,variant,allele
ZDB-ALT-130627-1,variant,allele
ZDB-ALT-131219-10,variant,allele
ZDB-ALT-110623-20,variant,allele
ZDB-ALT-110628-9,variant,allele
ZDB-ALT-110630-18,variant,allele
ZDB-ALT-110623-14,variant,allele
ZDB-ALT-110628-24,variant,allele
ZDB-ALT-110623-6,variant,allele
ZDB-ALT-110630-19,variant,allele
ZDB-ALT-110628-5,variant,allele
ZDB-ALT-110628-12,variant,allele
ZDB-ALT-110628-26,variant,allele
ZDB-ALT-110628-23,variant,allele
ZDB-ALT-110628-19,variant,allele
ZDB-ALT-110623-23,variant,allele
ZDB-ALT-110628-21,variant,allele
ZDB-ALT-110628-11,variant,allele
ZDB-ALT-110628-10,variant,allele
ZDB-ALT-110628-22,variant,allele
ZDB-ALT-110623-4,variant,allele
ZDB-ALT-110628-4,variant,allele
ZDB-ALT-110628-27,variant,allele
ZDB-ALT-110628-16,variant,allele
ZDB-ALT-110623-22,variant,allele
ZDB-ALT-110623-8,variant,allele
ZDB-ALT-110623-5,variant,allele
ZDB-ALT-110623-12,variant,allele
ZDB-ALT-110623-2,variant,allele
ZDB-ALT-110623-19,variant,allele
ZDB-ALT-110623-17,variant,allele
ZDB-ALT-110630-20,variant,allele
ZDB-ALT-110623-10,variant,allele
ZDB-ALT-110628-15,variant,allele
ZDB-ALT-110628-7,variant,allele
ZDB-ALT-110623-16,variant,allele
ZDB-ALT-110628-1,variant,allele
ZDB-ALT-110623-13,variant,allele
ZDB-ALT-110623-7,variant,allele
ZDB-ALT-110628-25,variant,allele
ZDB-ALT-110628-17,variant,allele
ZDB-ALT-110623-21,variant,allele
ZDB-ALT-110628-8,variant,allele
ZDB-ALT-110628-18,variant,allele
ZDB-ALT-110623-11,variant,allele
ZDB-ALT-110621-2,variant,allele
ZDB-ALT-110706-18,variant,allele
ZDB-ALT-110712-7,variant,allele
ZDB-ALT-110713-7,variant,allele
ZDB-ALT-110701-24,variant,allele
ZDB-ALT-110621-19,variant,allele
ZDB-ALT-110706-51,variant,allele
ZDB-ALT-110712-48,variant,allele
ZDB-ALT-110630-13,variant,allele
ZDB-ALT-110701-6,variant,allele
ZDB-ALT-110712-21,variant,allele
ZDB-ALT-110711-13,variant,allele
ZDB-ALT-110706-53,variant,allele
ZDB-ALT-110712-73,variant,allele
ZDB-ALT-110712-8,variant,allele
ZDB-ALT-110706-25,variant,allele
ZDB-ALT-110621-7,variant,allele
ZDB-ALT-110701-14,variant,allele
ZDB-ALT-110712-6,variant,allele
ZDB-ALT-110706-55,variant,allele
ZDB-ALT-110630-11,variant,allele
ZDB-ALT-110621-18,variant,allele
ZDB-ALT-110706-35,variant,allele
ZDB-ALT-110706-9,variant,allele
ZDB-ALT-110701-13,variant,allele
ZDB-ALT-110630-10,variant,allele
ZDB-ALT-110630-1,variant,allele
ZDB-ALT-110711-1,variant,allele
ZDB-ALT-110706-4,variant,allele
ZDB-ALT-110713-4,variant,allele
ZDB-ALT-110712-12,variant,allele
ZDB-ALT-110701-25,variant,allele
ZDB-ALT-110712-50,variant,allele
ZDB-ALT-110712-63,variant,allele
ZDB-ALT-110713-6,variant,allele
ZDB-ALT-110712-25,variant,allele
ZDB-ALT-110712-37,variant,allele
ZDB-ALT-110712-35,variant,allele
ZDB-ALT-110712-19,variant,allele
ZDB-ALT-110630-4,variant,allele
ZDB-ALT-110701-5,variant,allele
ZDB-ALT-110712-46,variant,allele
ZDB-ALT-110701-8,variant,allele
ZDB-ALT-110630-16,variant,allele
ZDB-ALT-110712-41,variant,allele
ZDB-ALT-110712-17,variant,allele
ZDB-ALT-110712-13,variant,allele
ZDB-ALT-110706-39,variant,allele
ZDB-ALT-110630-2,variant,allele
ZDB-ALT-110712-2,variant,allele
ZDB-ALT-110707-7,variant,allele
ZDB-ALT-110630-5,variant,allele
ZDB-ALT-110621-17,variant,allele
ZDB-ALT-110706-46,variant,allele
ZDB-ALT-110712-36,variant,allele
ZDB-ALT-110712-72,variant,allele
ZDB-ALT-110712-66,variant,allele
ZDB-ALT-110712-27,variant,allele
ZDB-ALT-110630-15,variant,allele
ZDB-ALT-110712-1,variant,allele
ZDB-ALT-110712-40,variant,allele
ZDB-ALT-110706-38,variant,allele
ZDB-ALT-110706-33,variant,allele
ZDB-ALT-110712-30,variant,allele
ZDB-ALT-110712-43,variant,allele
ZDB-ALT-110621-13,variant,allele
ZDB-ALT-110701-2,variant,allele
ZDB-ALT-110706-29,variant,allele
ZDB-ALT-110706-8,variant,allele
ZDB-ALT-110711-9,variant,allele
ZDB-ALT-110701-18,variant,allele
ZDB-ALT-110707-3,variant,allele
ZDB-ALT-110706-56,variant,allele
ZDB-ALT-110712-58,variant,allele
ZDB-ALT-110706-15,variant,allele
ZDB-ALT-110706-19,variant,allele
ZDB-ALT-110630-3,variant,allele
ZDB-ALT-110701-15,variant,allele
ZDB-ALT-110701-11,variant,allele
ZDB-ALT-110706-21,variant,allele
ZDB-ALT-110712-32,variant,allele
ZDB-ALT-110706-12,variant,allele
ZDB-ALT-110706-27,variant,allele
ZDB-ALT-110701-30,variant,allele
ZDB-ALT-110712-4,variant,allele
ZDB-ALT-110712-51,variant,allele
ZDB-ALT-110621-9,variant,allele
ZDB-ALT-110706-54,variant,allele
ZDB-ALT-110707-6,variant,allele
ZDB-ALT-110621-6,variant,allele
ZDB-ALT-110712-67,variant,allele
ZDB-ALT-110706-52,variant,allele
ZDB-ALT-110706-20,variant,allele
ZDB-ALT-110701-29,variant,allele
ZDB-ALT-110706-28,variant,allele
ZDB-ALT-110712-65,variant,allele
ZDB-ALT-110623-1,variant,allele
ZDB-ALT-110712-34,variant,allele
ZDB-ALT-110706-47,variant,allele
ZDB-ALT-110701-27,variant,allele
ZDB-ALT-110706-5,variant,allele
ZDB-ALT-110701-17,variant,allele
ZDB-ALT-110712-22,variant,allele
ZDB-ALT-110706-13,variant,allele
ZDB-ALT-110712-11,variant,allele
ZDB-ALT-110712-62,variant,allele
ZDB-ALT-110706-3,variant,allele
ZDB-ALT-110630-17,variant,allele
ZDB-ALT-110712-56,variant,allele
ZDB-ALT-110706-16,variant,allele
ZDB-ALT-110630-9,variant,allele
ZDB-ALT-110630-7,variant,allele
