"Allele","ZFIN ID","Background"
"sa13924","ZDB-GENE-991026-6","TL"
"sa13925","ZDB-GENE-070912-715","TL"
"sa13926","ZDB-GENE-030131-3256","TL"
"sa13927","ZDB-GENE-100922-36","TL"
"sa13928","ZDB-GENE-050208-261","TL"
"sa13929","ZDB-GENE-991209-6","TL"
"sa13930","ZDB-GENE-050208-772","TL"
"sa13931","ZDB-GENE-030131-8569","TL"
"sa13932","ZDB-GENE-050208-554","TL"
"sa13933","ZDB-GENE-051201-2","TL"
"sa13934","ZDB-GENE-040426-746","TL"
"sa13936","ZDB-GENE-041111-227","TL"
"sa13937","ZDB-GENE-060929-156","TL"
"sa13938","ZDB-GENE-030131-2602","TL"
"sa13939","ZDB-GENE-070112-1812","TL"
"sa13941","ZDB-GENE-041210-146","TL"
"sa13942","ZDB-GENE-050208-626","TL"
"sa13943","ZDB-GENE-041014-149,ZDB-GENE-041014-148,ZDB-GENE-041001-109","TL"
"sa13944","ZDB-GENE-091204-282","TL"
"sa13945","ZDB-GENE-050913-15","TL"
"sa13946","ZDB-GENE-040426-1195","TL"
"sa13947","ZDB-GENE-040426-1875","TL"
"sa13948","ZDB-GENE-090312-49","TL"
"sa13950","ZDB-GENE-110728-4","TL"
"sa13951","ZDB-GENE-040426-1507","TL"
"sa13952","ZDB-GENE-060512-349","TL"
"sa13953","ZDB-GENE-070809-5","TL"
"sa13954","ZDB-GENE-020125-3,ZDB-GENE-030131-8013","TL"
"sa13955","ZDB-GENE-060526-354","TL"
"sa13957","ZDB-GENE-050320-59","TL"
"sa13958","ZDB-GENE-040426-2018","TL"
"sa13959","ZDB-GENE-041014-214","TL"
"sa13960","ZDB-GENE-041210-50","TL"
"sa13961","ZDB-GENE-050417-248","TL"
"sa13962","ZDB-GENE-040426-702","TL"
"sa13963","ZDB-GENE-030131-9435","TL"
"sa13964","ZDB-GENE-050706-167","TL"
"sa13966","ZDB-GENE-090319-1","TL"
"sa13967","ZDB-GENE-090313-1","TL"
"sa13968","ZDB-GENE-010410-3","TL"
"sa13969","ZDB-GENE-040303-3","TL"
"sa13970","ZDB-GENE-040426-1360","TL"
"sa13971","ZDB-GENE-080229-6","TL"
"sa13972","ZDB-GENE-081107-61","TL"
"sa13973","ZDB-GENE-030131-3055","TL"
"sa13974","ZDB-GENE-060929-424,ZDB-GENE-121116-1","TL"
"sa13975","ZDB-GENE-090916-2","TL"
"sa13977","ZDB-GENE-040912-164","TL"
"sa13978","ZDB-GENE-060322-11","TL"
"sa13979","ZDB-GENE-040912-74","TL"
"sa13980","ZDB-GENE-110627-2","TL"
"sa13981","ZDB-GENE-120927-3","TL"
"sa13982","ZDB-GENE-041210-162","TL"
"sa13983","ZDB-GENE-980526-437","TL"
"sa13984","ZDB-GENE-050327-1","TL"
"sa13985","ZDB-GENE-070209-23","TL"
"sa13986","ZDB-GENE-040426-2825","TL"
"sa13987","ZDB-GENE-120727-13","TL"
"sa13989","ZDB-GENE-061027-337","TL"
"sa13992","ZDB-GENE-060215-1","TL"
"sa13993","ZDB-GENE-070912-183","TL"
"sa13994","ZDB-GENE-070917-3","TL"
"sa13995","ZDB-GENE-060526-16","TL"
"sa13996","ZDB-GENE-030131-1301","TL"
"sa13997","ZDB-GENE-081104-53","TL"
"sa13998","ZDB-GENE-050419-232","TL"
"sa13999","ZDB-GENE-040426-1949","TL"
"sa14000","ZDB-GENE-050522-399","TL"
"sa14001","ZDB-GENE-041008-73","TL"
"sa14002","ZDB-GENE-060526-251","TL"
"sa14004","ZDB-GENE-080220-48","TL"
"sa14005","ZDB-GENE-070912-458","TL"
"sa14006","ZDB-GENE-030616-157","TL"
"sa14007","ZDB-GENE-050913-156","TL"
"sa14008","ZDB-GENE-040426-978","TL"
"sa14009","ZDB-GENE-990415-94","TL"
"sa14010","ZDB-GENE-030616-152","TL"
"sa14011","ZDB-GENE-060503-794","TL"
"sa14013","ZDB-GENE-030131-321","TL"
"sa14014","ZDB-GENE-030131-1458","TL"
"sa14015","ZDB-GENE-060130-74","TL"
"sa14016","ZDB-GENE-040426-1117","TL"
"sa14017","ZDB-GENE-041014-307","TL"
"sa14019","ZDB-GENE-050227-4","TL"
"sa14020","ZDB-GENE-080728-3","TL"
"sa14022","ZDB-GENE-081107-18","TL"
"sa14023","ZDB-GENE-010328-18","TL"
"sa14024","ZDB-GENE-040724-119","TL"
"sa14025","ZDB-GENE-030113-2","TL"
"sa14026","ZDB-GENE-031118-10","TL"
"sa14027","ZDB-GENE-050320-89","TL"
"sa14028","ZDB-GENE-040121-2","TL"
"sa14029","ZDB-GENE-040426-892","TL"
"sa14030","ZDB-GENE-030131-5060","TL"
"sa14031","ZDB-GENE-070206-9","TL"
"sa14032","ZDB-GENE-030131-2830","TL"
"sa14033","ZDB-GENE-050314-2","TL"
"sa14034","ZDB-GENE-090313-45","TL"
"sa14035","ZDB-GENE-070705-17","TL"
"sa14036","ZDB-GENE-051120-93","TL"
"sa14037","ZDB-GENE-040426-1347","TL"
"sa14038","ZDB-GENE-020107-1","TL"
"sa14039","ZDB-GENE-070725-6","TL"
"sa14040","ZDB-GENE-070822-16","TL"
"sa14041","ZDB-GENE-030131-7176","TL"
"sa14043","ZDB-GENE-030131-8210","TL"
"sa14044","ZDB-GENE-090112-4","TL"
"sa14045","ZDB-GENE-061201-1","TL"
"sa14046","ZDB-GENE-070705-485","TL"
"sa14047","ZDB-GENE-041001-158","TL"
"sa14048","ZDB-GENE-060825-325","TL"
"sa14049","ZDB-GENE-040822-40","TL"
"sa14050","ZDB-GENE-070702-1","TL"
"sa14051","ZDB-GENE-091118-31,ZDB-GENE-060404-6","TL"
"sa14052","ZDB-GENE-050221-2","TL"
"sa14053","ZDB-GENE-070912-290","TL"
"sa14054","ZDB-GENE-070209-253","TL"
"sa14055","ZDB-GENE-081104-270","TL"
"sa14057","ZDB-GENE-050419-111","TL"
"sa14058","ZDB-GENE-020802-4","TL"
"sa14059","ZDB-GENE-061103-202","TL"
"sa14060","ZDB-GENE-030131-5060","TL"
"sa14061","ZDB-GENE-100922-98","TL"
"sa14062","ZDB-GENE-060929-156","TL"
"sa14063","ZDB-GENE-080130-1","TL"
"sa14064","ZDB-GENE-030131-6410","TL"
"sa14067","ZDB-GENE-091204-326","TL"
"sa14068","ZDB-GENE-040426-803","TL"
"sa14069","ZDB-GENE-050107-4","TL"
